Date,Title,Author,Slug,Recommended,Category,Stars,Comments,Link
1-Jan-2019,The Internet of Money,Aantonopolous,aa-iom,-,Tech,3.5,,
1-Sep-2017,Overcoming Insomnia and other Sleep Problems,Jack D. Edinger,je-insomnia,-,Psychology,3.5,,
16-May-2019,The Monk Who Sold His Ferrari,Robin Sharma,rs-monk,Friend (Marc),Self Help,3.5,,
1-Sep-2017,I am Pilgrim,Terry Hayes,th-pilgrim,Friend (Will),Spy fiction,3,Captivating spy book,
1-Mar-2019,Zero to 1 ,Peter Theil,pt-zero,-,Business,3,"Great insight into what it takes to 'go from zero to 1' i.e. making a breakthrough technology (Uber, Facebook, Google etc). Argues that competition is bad for business and that its not enough to pretend to differentiate (see Airline profits) you need to really provide a service magnitudes above your competitors in order to achieve a monopoly (Google vs Bing). Many more great take aways from Thiel and the Paypal mafia operations. ",
1-Jul-2018,The Foundation Trilogy,Michael Dirda,md-foundation,Elon Musk,Science fiction,3,Psychohistory,
1-Feb-2018,Mastering Bitcoin,Aantonopolous,aa-bitcoin,-,Tech,3,Fundamental tech,
1-Jan-2018,Hitchhikers Guide to the Galaxy,Douglas Adams,da-guide,Elon Musk,Science fiction,3,,
1-Nov-2017,Noughts & Crosses,Malorie Blackman,mb-noughts,-,Fiction,3,,
1-Jul-2017,Gone girl,Gillian Flynn,gf-gone,-,Psychological fiction,3,,
1-Dec-2018,A Brief History of Time,Stephen Hawking,sh-time,-,Physics,3,,
1-Dec-2018,What's the future and why it's up to us,Tim O'Reilly,to-wtf,-,Business,3,,
1-Jun-2017,Rivers of London,Ben Aaronovitch,ba-rivers,-,Fiction,3,,
1-Mar-2017,The Reluctant Fundamentalist,Mohsin Hamid,mh-rf,Friend (James),Psychological fiction,3,,
1-Jun-2016,The Psychology Book,Catherine Collin,cc-psych,-,Psychology,3,,
24-Mar-2019,Good sugar Bad sugar,Allen Carr,ac-sugar,-,Habits,3,Provided me with clarity to remove processed sugar from my life,
9-May-2019,The Silent Patient,Alex Michaelides,am-silent,GoodReads,Psychological fiction,3,,
1-Jul-2018,Kick the Drink... Easily,Jason Vale,jv-drink,-,Habits,2,,
1-Jul-2015,The Power of Now,Eckhart Tolle,et-power,-,Self Help Philosophy,2,,
1-Mar-2016,The God Delusion,Richard Dawkins,rd-god,-,Religion,2,,
1-Mar-2019,Mythos,Stephen Fry,sf-myth,WHSmith,Fiction,2,,
1-Aug-2018,My Friend the Mercenary,James Brabazon,jb-mercen,-,Biography,1,,
1-Aug-2015,The Happiness Hypothesis,Jonathan Haidt,jh-happ,-,Self Help,1,,
-,The Happiness Trap,Russ Harris,rh-happ,-,Self Help,1,,
